Al,Ca,Cu,Zr,Ni,Nb,Ag,Mg,Gd,Au,Si,Zn,Ce,Hf,Ti,Ga,Dy,Co,Er,Fe,Ho,La,Lu,Nd,Pr,Tb,Ta,Pd,Sm,Tm,Be,Mo,Li,In,Mn,Sn,Sc,Yb,Cr,Pb,Ge,Pt,As,B,Ba,Bi,Br,C,Cd,Cl,Cs,Eu,F,H,Hg,I,Ir,K,N,Na,Ne,Ns,O,Os,P,Rb,Re,Rh,Ru,S,Sb,Se,Sr,Te,Tl,V,W,Y,Tc
0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.25,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.25,0.0,0.0,0.0
0.0,0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.333333333,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.25,0.0,0,0,0.0,0.25,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.25,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.333333333,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.333333333,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.333333333,0.0,0.0,0.0
0.0,0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.25,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.25,0,0,0.0,0.0,0,0,0.25,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.25,0,0,0.25,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0,0.0,0,0,0,0,0.25,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.25,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.333333333,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.333333333,0.0,0.0,0.0
0.333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.25,0.0,0.25,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.25,0,0,0.0,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.25,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.25,0,0,0.25,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.25,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.25,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.25,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.333333333,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.333333333,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.333333333,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.5,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.25,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.25,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.25,0.0,0,0,0.0,0.0,0,0,0.25,0.0,0.0,0,0.25,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
